date,close,high,low,open,quoteVolume,volume,weightedAverage
2017-10-12,311.00000003,330.66306724,306.79,313.92208967,10652.59979866,3381696.4923485,317.45269288
2017-10-13,319.6,326.83999997,294.75880003,311.59520124,10778.2533719,3345575.1994927,310.40049663
2017-10-14,323.45147225,327.5,314.5,320.98999991,4872.34755535,1562722.2038433,320.73290874
2017-10-15,314.66362073,325.5,306.00000001,320.58600006,4368.32800233,1371706.4784066,314.01178612
2017-10-16,314.54429568,318.02163664,310.00123,314.66362073,3223.16502121,1013214.2096248,314.35381153
2017-10-17,369.99999999,398.98,308.00000001,312.6666,33481.53570486,12135643.388269,362.45778853
2017-10-18,340.01951085,375.89999999,305.83349999,369.99999996,11264.39437477,3819291.7268999,339.05877225
2017-10-19,330.99999999,340.01951046,323.00000019,340.01951046,3674.22912142,1216192.7986649,331.00624878
2017-10-20,326.06831954,333.99999969,320.00000003,329.0,2489.17990186,817298.40975588,328.34043419
2017-10-21,323.15110427,328.34005474,312.68583823,325.74257696,2315.14540104,742341.4066705,320.64569522
2017-10-22,326.0,358.98777595,318.756757,321.53742192,6883.67890727,2310527.0550152,335.6529388
2017-10-23,311.87076942,330.54499889,302.6,325.822,3172.92346568,996959.66268568,314.20854409
2017-10-24,322.00000007,336.61449999,302.385,311.88928123,4388.98602454,1427064.6899181,325.14678377
2017-10-25,330.0,331.00000004,315.48887432,322.00000007,1932.88049327,629893.40508213,325.88326452
2017-10-26,336.0,350.66306724,327.04750327,328.00000003,6189.91650171,2095345.4218766,338.50948091
2017-10-27,362.51069016,373.610496,334.52925178,335.45,9528.53172968,3403555.5315438,357.19622163
2017-10-28,417.23621586,420.5,363.50000001,364.99999772,18544.32175775,7198241.5201176,388.16418384
2017-10-29,453.16763081,522.7,399.10000089,416.99,47494.7345095,21999805.103077,463.20513905
2017-10-30,446.0,482.03773014,415.1,453.16763081,17014.17276219,7656239.2421099,449.99185967
2017-10-31,435.11,454.99999999,424.63988907,444.85834389,8015.27016627,3542653.0388226,441.98797611
2017-11-01,534.24796917,546.76657997,434.10465,435.11,27565.53958326,13558468.144959,491.86296912
2017-11-02,572.0,594.00001424,495.00000033,534.24796917,44936.47127745,24412201.625777,543.26031688
2017-11-03,622.52491028,686.00000003,557.0,574.058268,37419.71371354,23924681.928194,639.36036794
2017-11-04,611.92500002,638.2,560.0,622.52491028,27537.36959195,16753959.803638,608.40813962
2017-11-05,625.0,637.8,570.0,611.92500005,19507.84810822,11782129.499221,603.96869167
2017-11-06,587.0,651.00000004,585.95257164,626.99999999,20946.45924447,12967385.053614,619.0728897
2017-11-07,604.98,617.56704735,585.83695798,587.0,8435.20048641,5078288.9969145,602.03536419
2017-11-08,617.89999916,642.99999998,522.83316736,604.99999999,22864.5698455,13703153.244954,599.31821755
2017-11-09,641.0,670.0,613.0,617.89999917,14294.69858445,9062619.1345623,633.98462591
2017-11-10,1018.99999999,1034.0,638.91450645,642.0,97866.82889129,84273279.536087,861.10156516
2017-11-11,1326.00000048,1499.3243,890.0,1020.0,90466.33260896,106569208.18709,1177.99854502
2017-11-12,1367.706,2860.0,1153.0,1334.99999998,151452.36551886,246663664.38671,1628.65507938
2017-11-13,1346.996,1500.0,1005.33333335,1367.70600001,76296.38171401,95827014.91834,1255.98374084
2017-11-14,1246.0,1379.72553951,1186.15677997,1348.19,23669.00605517,30276607.298984,1279.16682383
2017-11-15,1180.99999999,1320.2600005,1166.99999996,1246.0,20657.17222369,25538391.555008,1236.29658882
2017-11-16,906.0,1193.80000029,866.66666666,1188.73700654,38300.22572097,39449266.318521,1030.00088317
2017-11-17,1178.0,1219.97999992,856.0,905.38316068,43649.3871032,46953906.408952,1075.70597263
2017-11-18,1240.17750445,1372.99999993,1171.00045097,1179.99999897,40888.97052251,52258952.061655,1278.06964552
2017-11-19,1181.21461682,1259.0,1129.0,1245.68003822,17470.51516678,20703099.364421,1185.03084578
2017-11-20,1245.0,1253.84974033,1170.99999874,1180.99999946,9157.14191133,11010906.699335,1202.43923332
2017-11-21,1170.00000007,1245.49999999,1144.0,1245.11707833,13925.23005489,16548076.889314,1188.35213666
2017-11-22,1296.0005,1345.0,1165.0,1170.00000007,21009.84364704,26726018.919513,1272.07129041
2017-11-23,1660.00000001,1670.0,1292.14695402,1296.01,43102.47060075,64500290.148271,1496.4406738
2017-11-24,1619.66399994,1757.0,1525.61460342,1662.5,31391.34262292,52149270.069452,1661.26281044
2017-11-25,1545.93107264,1641.834,1506.23222222,1620.0,18522.11523485,29287124.630886,1581.19762562
2017-11-26,1717.03105543,1730.0000212,1525.0,1545.93107263,16408.92407119,26601049.01906,1621.13304343
2017-11-27,1584.27242791,1724.89999996,1553.0,1717.03105543,15756.43867697,25760952.833019,1634.94767828
2017-11-28,1482.0,1594.49676479,1470.0,1587.0,15663.60298707,24074961.754208,1537.00025301
2017-11-29,1335.0,1635.15,1280.0,1481.01,39183.01195439,57793877.429217,1474.97281465
2017-11-30,1317.51000013,1417.99999999,1163.00000007,1335.0,19187.01828672,24706834.969816,1287.68496493
2017-12-01,1417.99999998,1450.0,1239.92686106,1317.51000014,13048.1957968,17637610.367946,1351.72790496
2017-12-02,1391.49999887,1468.99999999,1365.4695328,1411.0,8982.71233596,12746140.360933,1418.96343601
2017-12-03,1505.441052,1624.99999999,1374.0,1394.0,20697.4769367,31861630.711912,1539.39684577
2017-12-04,1533.652745,1544.60515168,1431.67000001,1505.441052,6560.70113683,9860121.2620191,1502.90663396
2017-12-05,1430.0,1585.0,1419.60000001,1533.6527451,10867.77829463,16413529.563045,1510.29300727
2017-12-06,1347.0,1461.121444,1300.74734169,1430.0,11886.52127843,16620903.429269,1398.29837846
2017-12-07,1230.00000001,1361.75190908,1211.0,1350.0,12767.3519716,16218913.791296,1270.34281089
2017-12-08,1382.00300037,1575.0,1136.23008668,1230.00000001,31384.16374075,43262890.330613,1378.49428418
2017-12-09,1369.23967949,1486.432,1290.0,1388.00000034,9364.34394426,13057304.384521,1394.36403257
2017-12-10,1287.0,1377.0,1182.0,1365.98690378,6950.69990446,8905178.00995,1281.1915537
2017-12-11,1384.1,1431.99999999,1287.0,1287.0,8761.65750555,12078418.470858,1378.55405363
2017-12-12,1526.07182,1559.818037,1372.42300121,1383.00000001,13394.21279973,19813319.221337,1479.24476918
2017-12-13,1550.00000004,1604.01103999,1431.62000004,1526.07182,17084.30891088,26050384.23954,1524.81346336
2017-12-14,1932.9,1980.00000003,1545.0,1550.00000005,30831.01122407,55700762.9729,1806.64729314
2017-12-15,1799.0,1933.21678222,1626.0,1932.9,11532.61005274,20137995.936486,1746.17851851
2017-12-16,1777.7,1867.99999999,1735.0,1798.99999999,8317.0273337,14837599.469191,1784.00273004
